,tc,call_volume,aht,service_level,art,positions
0,2022-12-01 00:00:00.000,15,162,80,30,5
1,2022-12-01 00:15:00.000,11,192,80,30,5
2,2022-12-01 00:30:00.000,13,168,80,30,5
3,2022-12-01 00:45:00.000,9,172,80,30,4
4,2022-12-01 01:00:00.000,13,181,80,30,5
5,2022-12-01 01:15:00.000,9,172,80,30,4
6,2022-12-01 01:30:00.000,14,165,80,30,5
7,2022-12-01 01:45:00.000,19,159,80,30,6
8,2022-12-01 02:00:00.000,14,156,80,30,5
9,2022-12-01 02:15:00.000,23,143,80,30,6
10,2022-12-01 02:30:00.000,27,233,80,30,10
11,2022-12-01 02:45:00.000,27,142,80,30,7
12,2022-12-01 03:00:00.000,35,210,80,30,11
13,2022-12-01 03:15:00.000,35,229,80,30,12
14,2022-12-01 03:30:00.000,45,202,80,30,13
15,2022-12-01 03:45:00.000,44,184,80,30,12
16,2022-12-01 04:00:00.000,45,160,80,30,11
17,2022-12-01 04:15:00.000,60,167,80,30,14
18,2022-12-01 04:30:00.000,64,290,80,30,25
19,2022-12-01 04:45:00.000,69,287,80,30,27
20,2022-12-01 05:00:00.000,79,156,80,30,17
21,2022-12-01 05:15:00.000,82,313,80,30,34
22,2022-12-01 05:30:00.000,110,386,80,30,53
23,2022-12-01 05:45:00.000,109,416,80,30,57
24,2022-12-01 06:00:00.000,117,356,80,30,52
25,2022-12-01 06:15:00.000,122,339,80,30,52
26,2022-12-01 06:30:00.000,137,167,80,30,30
27,2022-12-01 06:45:00.000,142,207,80,30,37
28,2022-12-01 07:00:00.000,168,347,80,30,72
29,2022-12-01 07:15:00.000,202,330,80,30,81
30,2022-12-01 07:30:00.000,215,331,80,30,86
31,2022-12-01 07:45:00.000,238,252,80,30,73
32,2022-12-01 08:00:00.000,259,266,80,30,83
33,2022-12-01 08:15:00.000,295,421,80,30,147
34,2022-12-01 08:30:00.000,334,422,80,30,166
35,2022-12-01 08:45:00.000,363,414,80,30,176
36,2022-12-01 09:00:00.000,423,487,80,30,240
37,2022-12-01 09:15:00.000,488,383,80,30,217
38,2022-12-01 09:30:00.000,566,391,80,30,256
39,2022-12-01 09:45:00.000,585,544,80,30,367
40,2022-12-01 10:00:00.000,618,476,80,30,339
41,2022-12-01 10:15:00.000,640,488,80,30,359
42,2022-12-01 10:30:00.000,680,509,80,30,398
43,2022-12-01 10:45:00.000,673,485,80,30,375
44,2022-12-01 11:00:00.000,667,475,80,30,364
45,2022-12-01 11:15:00.000,659,419,80,30,318
46,2022-12-01 11:30:00.000,660,444,80,30,337
47,2022-12-01 11:45:00.000,639,446,80,30,328
48,2022-12-01 12:00:00.000,626,486,80,30,350
49,2022-12-01 12:15:00.000,619,455,80,30,325
50,2022-12-01 12:30:00.000,613,483,80,30,341
51,2022-12-01 12:45:00.000,587,424,80,30,288
52,2022-12-01 13:00:00.000,581,399,80,30,268
53,2022-12-01 13:15:00.000,577,503,80,30,335
54,2022-12-01 13:30:00.000,583,490,80,30,330
55,2022-12-01 13:45:00.000,575,518,80,30,343
56,2022-12-01 14:00:00.000,595,482,80,30,331
57,2022-12-01 14:15:00.000,602,561,80,30,389
58,2022-12-01 14:30:00.000,598,473,80,30,326
59,2022-12-01 14:45:00.000,566,487,80,30,318
60,2022-12-01 15:00:00.000,540,486,80,30,303
61,2022-12-01 15:15:00.000,534,504,80,30,311
62,2022-12-01 15:30:00.000,527,534,80,30,325
63,2022-12-01 15:45:00.000,507,437,80,30,257
64,2022-12-01 16:00:00.000,479,480,80,30,267
65,2022-12-01 16:15:00.000,466,457,80,30,247
66,2022-12-01 16:30:00.000,448,488,80,30,254
67,2022-12-01 16:45:00.000,414,422,80,30,204
68,2022-12-01 17:00:00.000,390,465,80,30,212
69,2022-12-01 17:15:00.000,341,530,80,30,212
70,2022-12-01 17:30:00.000,299,436,80,30,154
71,2022-12-01 17:45:00.000,276,421,80,30,138
72,2022-12-01 18:00:00.000,257,604,80,30,183
73,2022-12-01 18:15:00.000,197,821,80,30,192
74,2022-12-01 18:30:00.000,170,625,80,30,128
75,2022-12-01 18:45:00.000,149,224,80,30,42
