tc,call_volume,aht,service_level,art,positions,positions_quantile
2023-03-01 00:00:00+03:00,15,413.8666666666667,80,30,10,10
2023-03-01 00:15:00+03:00,11,421.0,80,30,8,8
2023-03-01 00:30:00+03:00,13,410.0,80,30,9,9
2023-03-01 00:45:00+03:00,9,435.0,80,30,7,7
2023-03-01 01:00:00+03:00,13,434.0,80,30,9,9
2023-03-01 01:15:00+03:00,9,434.0,80,30,7,7
2023-03-01 01:30:00+03:00,14,426.0,80,30,10,10
2023-03-01 01:45:00+03:00,19,402.42105263157896,80,30,12,12
2023-03-01 02:00:00+03:00,14,382.0,80,30,9,9
2023-03-01 02:15:00+03:00,23,405.1739130434783,80,30,14,14
2023-03-01 02:30:00+03:00,27,393.7037037037037,80,30,16,16
2023-03-01 02:45:00+03:00,27,384.6666666666667,80,30,15,15
2023-03-01 03:00:00+03:00,35,401.4857142857143,80,30,20,20
2023-03-01 03:15:00+03:00,35,403.3142857142857,80,30,20,20
2023-03-01 03:30:00+03:00,45,400.8666666666667,80,30,25,25
2023-03-01 03:45:00+03:00,44,404.6818181818182,80,30,25,25
2023-03-01 04:00:00+03:00,45,386.3777777777778,80,30,24,24
2023-03-01 04:15:00+03:00,60,389.53333333333336,80,30,31,31
2023-03-01 04:30:00+03:00,64,401.453125,80,30,34,34
2023-03-01 04:45:00+03:00,69,406.072463768116,80,30,37,37
2023-03-01 05:00:00+03:00,79,409.0253164556962,80,30,42,42
2023-03-01 05:15:00+03:00,82,420.1951219512195,80,30,44,44
2023-03-01 05:30:00+03:00,110,415.95454545454544,80,30,57,57
2023-03-01 05:45:00+03:00,109,416.72477064220186,80,30,57,57
2023-03-01 06:00:00+03:00,117,413.94017094017096,80,30,60,60
2023-03-01 06:15:00+03:00,122,413.62295081967216,80,30,63,63
2023-03-01 06:30:00+03:00,137,409.5474452554744,80,30,69,69
2023-03-01 06:45:00+03:00,142,406.225352112676,80,30,71,71
2023-03-01 07:00:00+03:00,168,406.625,80,30,83,83
2023-03-01 07:15:00+03:00,202,410.5445544554456,80,30,100,100
2023-03-01 07:30:00+03:00,215,413.86046511627904,80,30,107,107
2023-03-01 07:45:00+03:00,238,423.2773109243698,80,30,120,120
2023-03-01 08:00:00+03:00,259,422.2084942084942,80,30,130,130
2023-03-01 08:15:00+03:00,295,424.7322033898305,80,30,148,148
2023-03-01 08:30:00+03:00,334,427.1377245508982,80,30,168,168
2023-03-01 08:45:00+03:00,363,436.8347107438017,80,30,186,186
2023-03-01 09:00:00+03:00,423,434.40425531914894,80,30,214,214
2023-03-01 09:15:00+03:00,488,445.4733606557377,80,30,252,252
2023-03-01 09:30:00+03:00,566,450.80388692579504,80,30,295,295
2023-03-01 09:45:00+03:00,585,455.059829059829,80,30,307,307
2023-03-01 10:00:00+03:00,618,462.3543689320388,80,30,329,329
2023-03-01 10:15:00+03:00,640,461.0109375,80,30,340,340
2023-03-01 10:30:00+03:00,680,460.4661764705882,80,30,360,360
2023-03-01 10:45:00+03:00,673,459.49182763744426,80,30,356,356
2023-03-01 11:00:00+03:00,667,453.8185907046477,80,30,348,348
2023-03-01 11:15:00+03:00,659,455.5933232169954,80,30,346,346
2023-03-01 11:30:00+03:00,660,454.5257575757576,80,30,345,345
2023-03-01 11:45:00+03:00,639,451.3082942097026,80,30,332,332
2023-03-01 12:00:00+03:00,626,458.7156549520767,80,30,331,331
2023-03-01 12:15:00+03:00,619,454.1017770597738,80,30,324,324
2023-03-01 12:30:00+03:00,613,453.4290375203915,80,30,320,320
2023-03-01 12:45:00+03:00,587,450.7955706984668,80,30,305,305
2023-03-01 13:00:00+03:00,581,448.4388984509466,80,30,301,301
2023-03-01 13:15:00+03:00,577,446.0675909878683,80,30,297,297
2023-03-01 13:30:00+03:00,583,445.3739279588336,80,30,300,300
2023-03-01 13:45:00+03:00,575,448.2991304347826,80,30,298,298
2023-03-01 14:00:00+03:00,595,451.6016806722689,80,30,310,310
2023-03-01 14:15:00+03:00,602,448.98837209302326,80,30,312,312
2023-03-01 14:30:00+03:00,598,451.4030100334448,80,30,311,311
2023-03-01 14:45:00+03:00,566,449.12544169611306,80,30,294,294
2023-03-01 15:00:00+03:00,540,447.337037037037,80,30,280,280
