,tc,call_volume,aht,service_level,art,positions,resources_shifts
0,2022-12-01 00:00:00.000,15,162,80,30,5,11
1,2022-12-01 00:15:00.000,11,192,80,30,5,11
2,2022-12-01 00:30:00.000,13,168,80,30,5,11
3,2022-12-01 00:45:00.000,9,172,80,30,4,11
4,2022-12-01 01:00:00.000,13,181,80,30,5,11
5,2022-12-01 01:15:00.000,9,172,80,30,4,11
6,2022-12-01 01:30:00.000,14,165,80,30,5,11
7,2022-12-01 01:45:00.000,19,159,80,30,6,11
8,2022-12-01 02:00:00.000,14,156,80,30,5,11
9,2022-12-01 02:15:00.000,23,143,80,30,6,11
10,2022-12-01 02:30:00.000,27,233,80,30,10,11
11,2022-12-01 02:45:00.000,27,142,80,30,7,11
12,2022-12-01 03:00:00.000,35,210,80,30,11,11
13,2022-12-01 03:15:00.000,35,229,80,30,12,11
14,2022-12-01 03:30:00.000,45,202,80,30,13,11
15,2022-12-01 03:45:00.000,44,184,80,30,12,11
16,2022-12-01 04:00:00.000,45,160,80,30,11,11
17,2022-12-01 04:15:00.000,60,167,80,30,14,11
18,2022-12-01 04:30:00.000,64,290,80,30,25,11
19,2022-12-01 04:45:00.000,69,287,80,30,27,11
20,2022-12-01 05:00:00.000,79,156,80,30,17,11
21,2022-12-01 05:15:00.000,82,313,80,30,34,11
22,2022-12-01 05:30:00.000,110,386,80,30,53,11
23,2022-12-01 05:45:00.000,109,416,80,30,57,11
24,2022-12-01 06:00:00.000,117,356,80,30,52,5
25,2022-12-01 06:15:00.000,122,339,80,30,52,4
26,2022-12-01 06:30:00.000,137,167,80,30,30,1
27,2022-12-01 06:45:00.000,142,207,80,30,37,0
28,2022-12-01 07:00:00.000,168,347,80,30,72,0
29,2022-12-01 07:15:00.000,202,330,80,30,81,0
30,2022-12-01 07:30:00.000,215,331,80,30,86,0
31,2022-12-01 07:45:00.000,238,252,80,30,73,0
32,2022-12-01 08:00:00.000,259,266,80,30,83,0
33,2022-12-01 08:15:00.000,295,421,80,30,147,0
34,2022-12-01 08:30:00.000,334,422,80,30,166,0
35,2022-12-01 08:45:00.000,363,414,80,30,176,0
36,2022-12-01 09:00:00.000,423,487,80,30,240,0
37,2022-12-01 09:15:00.000,488,383,80,30,217,0
38,2022-12-01 09:30:00.000,566,391,80,30,256,0
39,2022-12-01 09:45:00.000,585,544,80,30,367,0
40,2022-12-01 10:00:00.000,618,476,80,30,339,0
41,2022-12-01 10:15:00.000,640,488,80,30,359,0
42,2022-12-01 10:30:00.000,680,509,80,30,398,0
43,2022-12-01 10:45:00.000,673,485,80,30,375,0
44,2022-12-01 11:00:00.000,667,475,80,30,364,0
45,2022-12-01 11:15:00.000,659,419,80,30,318,0
46,2022-12-01 11:30:00.000,660,444,80,30,337,0
47,2022-12-01 11:45:00.000,639,446,80,30,328,0
48,2022-12-01 12:00:00.000,626,486,80,30,350,0
49,2022-12-01 12:15:00.000,619,455,80,30,325,0
50,2022-12-01 12:30:00.000,613,483,80,30,341,0
51,2022-12-01 12:45:00.000,587,424,80,30,288,0
52,2022-12-01 13:00:00.000,581,399,80,30,268,0
53,2022-12-01 13:15:00.000,577,503,80,30,335,0
54,2022-12-01 13:30:00.000,583,490,80,30,330,0
55,2022-12-01 13:45:00.000,575,518,80,30,343,0
56,2022-12-01 14:00:00.000,595,482,80,30,331,0
57,2022-12-01 14:15:00.000,602,561,80,30,389,0
58,2022-12-01 14:30:00.000,598,473,80,30,326,0
59,2022-12-01 14:45:00.000,566,487,80,30,318,0
60,2022-12-01 15:00:00.000,540,486,80,30,303,0
61,2022-12-01 15:15:00.000,534,504,80,30,311,0
62,2022-12-01 15:30:00.000,527,534,80,30,325,0
63,2022-12-01 15:45:00.000,507,437,80,30,257,0
64,2022-12-01 16:00:00.000,479,480,80,30,267,0
65,2022-12-01 16:15:00.000,466,457,80,30,247,0
66,2022-12-01 16:30:00.000,448,488,80,30,254,0
67,2022-12-01 16:45:00.000,414,422,80,30,204,0
68,2022-12-01 17:00:00.000,390,465,80,30,212,0
69,2022-12-01 17:15:00.000,341,530,80,30,212,0
70,2022-12-01 17:30:00.000,299,436,80,30,154,0
71,2022-12-01 17:45:00.000,276,421,80,30,138,0
72,2022-12-01 18:00:00.000,257,604,80,30,183,0
73,2022-12-01 18:15:00.000,197,821,80,30,192,0
74,2022-12-01 18:30:00.000,170,625,80,30,128,0
