tc,call_volume,aht,service_level,art,positions,positions_quantile,resources_shifts
2022-12-01 00:00:00+03:00,15,162,80,30,5,1,0
2022-12-01 00:15:00+03:00,11,192,80,30,5,1,0
2022-12-01 00:30:00+03:00,13,168,80,30,5,1,0
2022-12-01 00:45:00+03:00,9,172,80,30,4,1,0
2022-12-01 01:00:00+03:00,13,181,80,30,5,1,0
2022-12-01 01:15:00+03:00,9,172,80,30,4,1,0
2022-12-01 01:30:00+03:00,14,165,80,30,5,1,0
2022-12-01 01:45:00+03:00,19,159,80,30,6,2,0
2022-12-01 02:00:00+03:00,14,156,80,30,5,1,0
2022-12-01 02:15:00+03:00,23,143,80,30,6,2,0
2022-12-01 02:30:00+03:00,27,233,80,30,10,2,0
2022-12-01 02:45:00+03:00,27,142,80,30,7,2,0
2022-12-01 03:00:00+03:00,35,210,80,30,11,3,0
2022-12-01 03:15:00+03:00,35,229,80,30,12,3,0
2022-12-01 03:30:00+03:00,45,202,80,30,13,3,0
2022-12-01 03:45:00+03:00,44,184,80,30,12,3,0
2022-12-01 04:00:00+03:00,45,160,80,30,11,3,0
2022-12-01 04:15:00+03:00,60,167,80,30,14,3,0
2022-12-01 04:30:00+03:00,64,290,80,30,25,5,0
2022-12-01 04:45:00+03:00,69,287,80,30,27,6,0
2022-12-01 05:00:00+03:00,79,156,80,30,17,4,0
2022-12-01 05:15:00+03:00,82,313,80,30,34,7,0
2022-12-01 05:30:00+03:00,110,386,80,30,53,11,0
2022-12-01 05:45:00+03:00,109,416,80,30,57,12,0
2022-12-01 06:00:00+03:00,117,356,80,30,52,11,10
2022-12-01 06:15:00+03:00,122,339,80,30,52,11,10
2022-12-01 06:30:00+03:00,137,167,80,30,30,6,10
2022-12-01 06:45:00+03:00,142,207,80,30,37,8,10
2022-12-01 07:00:00+03:00,168,347,80,30,72,15,15
2022-12-01 07:15:00+03:00,202,330,80,30,81,17,20
2022-12-01 07:30:00+03:00,215,331,80,30,86,18,22
2022-12-01 07:45:00+03:00,238,252,80,30,73,15,22
2022-12-01 08:00:00+03:00,259,266,80,30,83,17,23
2022-12-01 08:15:00+03:00,295,421,80,30,147,30,34
2022-12-01 08:30:00+03:00,334,422,80,30,166,34,34
2022-12-01 08:45:00+03:00,363,414,80,30,176,36,46
2022-12-01 09:00:00+03:00,423,487,80,30,240,48,48
2022-12-01 09:15:00+03:00,488,383,80,30,217,44,49
2022-12-01 09:30:00+03:00,566,391,80,30,256,52,54
2022-12-01 09:45:00+03:00,585,544,80,30,367,74,59
2022-12-01 10:00:00+03:00,618,476,80,30,339,68,63
2022-12-01 10:15:00+03:00,640,488,80,30,359,72,70
2022-12-01 10:30:00+03:00,680,509,80,30,398,80,70
2022-12-01 10:45:00+03:00,673,485,80,30,375,75,74
2022-12-01 11:00:00+03:00,667,475,80,30,364,73,74
2022-12-01 11:15:00+03:00,659,419,80,30,318,64,74
2022-12-01 11:30:00+03:00,660,444,80,30,337,68,77
2022-12-01 11:45:00+03:00,639,446,80,30,328,66,78
2022-12-01 12:00:00+03:00,626,486,80,30,350,70,78
2022-12-01 12:15:00+03:00,619,455,80,30,325,65,79
2022-12-01 12:30:00+03:00,613,483,80,30,341,69,81
2022-12-01 12:45:00+03:00,587,424,80,30,288,58,82
2022-12-01 13:00:00+03:00,581,399,80,30,268,54,82
2022-12-01 13:15:00+03:00,577,503,80,30,335,67,82
2022-12-01 13:30:00+03:00,583,490,80,30,330,66,82
2022-12-01 13:45:00+03:00,575,518,80,30,343,69,82
2022-12-01 14:00:00+03:00,595,482,80,30,331,67,82
2022-12-01 14:15:00+03:00,602,561,80,30,389,78,82
2022-12-01 14:30:00+03:00,598,473,80,30,326,66,82
2022-12-01 14:45:00+03:00,566,487,80,30,318,64,82
2022-12-01 15:00:00+03:00,540,486,80,30,303,61,72
2022-12-01 15:15:00+03:00,534,504,80,30,311,63,72
2022-12-01 15:30:00+03:00,527,534,80,30,325,65,72
2022-12-01 15:45:00+03:00,507,437,80,30,257,52,72
2022-12-01 16:00:00+03:00,479,480,80,30,267,54,67
2022-12-01 16:15:00+03:00,466,457,80,30,247,50,62
2022-12-01 16:30:00+03:00,448,488,80,30,254,51,60
2022-12-01 16:45:00+03:00,414,422,80,30,204,41,60
2022-12-01 17:00:00+03:00,390,465,80,30,212,43,59
2022-12-01 17:15:00+03:00,341,530,80,30,212,43,48
2022-12-01 17:30:00+03:00,299,436,80,30,154,31,48
2022-12-01 17:45:00+03:00,276,421,80,30,138,28,36
2022-12-01 18:00:00+03:00,257,604,80,30,183,37,34
2022-12-01 18:15:00+03:00,197,821,80,30,192,39,33
2022-12-01 18:30:00+03:00,170,625,80,30,128,26,28
2022-12-01 18:45:00+03:00,149,224,80,30,42,9,23
2022-12-01 19:00:00+03:00,139,558,80,30,95,19,19
2022-12-01 19:15:00+03:00,114,421,80,30,60,12,12
2022-12-01 19:30:00+03:00,116,490,80,30,70,14,12
2022-12-01 19:45:00+03:00,94,327,80,30,40,8,8
2022-12-01 20:00:00+03:00,98,289,80,30,37,8,8
2022-12-01 20:15:00+03:00,74,450,80,30,43,9,8
2022-12-01 20:30:00+03:00,77,173,80,30,18,4,5
2022-12-01 20:45:00+03:00,58,195,80,30,16,4,4
2022-12-01 21:00:00+03:00,63,192,80,30,17,4,4
2022-12-01 21:15:00+03:00,54,185,80,30,14,3,3
2022-12-01 21:30:00+03:00,46,178,80,30,12,3,1
2022-12-01 21:45:00+03:00,50,157,80,30,12,3,0
2022-12-01 22:00:00+03:00,40,149,80,30,9,2,0
2022-12-01 22:15:00+03:00,33,153,80,30,8,2,0
2022-12-01 22:30:00+03:00,27,154,80,30,7,2,0
2022-12-01 22:45:00+03:00,21,158,80,30,6,2,0
2022-12-01 23:00:00+03:00,25,156,80,30,7,2,0
2022-12-01 23:15:00+03:00,18,170,80,30,6,2,0
2022-12-01 23:30:00+03:00,20,217,80,30,8,2,0
2022-12-01 23:45:00+03:00,16,198,80,30,6,2,0
2022-12-02 00:00:00+03:00,12,161,80,30,4,1,0
2022-12-02 00:15:00+03:00,13,165,80,30,5,1,0
2022-12-02 00:30:00+03:00,11,99,80,30,3,1,0
2022-12-02 00:45:00+03:00,10,137,80,30,3,1,0
2022-12-02 01:00:00+03:00,8,148,80,30,3,1,0
2022-12-02 01:15:00+03:00,15,168,80,30,5,1,0
2022-12-02 01:30:00+03:00,10,167,80,30,4,1,0
2022-12-02 01:45:00+03:00,12,151,80,30,4,1,0
2022-12-02 02:00:00+03:00,17,149,80,30,5,1,0
2022-12-02 02:15:00+03:00,21,213,80,30,8,2,0
2022-12-02 02:30:00+03:00,22,195,80,30,7,2,0
2022-12-02 02:45:00+03:00,24,201,80,30,8,2,0
2022-12-02 03:00:00+03:00,33,176,80,30,9,2,0
2022-12-02 03:15:00+03:00,34,189,80,30,10,2,0
2022-12-02 03:30:00+03:00,34,133,80,30,8,2,0
2022-12-02 03:45:00+03:00,42,129,80,30,9,2,0
2022-12-02 04:00:00+03:00,56,147,80,30,12,3,0
2022-12-02 04:15:00+03:00,51,302,80,30,21,5,0
2022-12-02 04:30:00+03:00,65,164,80,30,15,3,0
2022-12-02 04:45:00+03:00,60,175,80,30,15,3,0
2022-12-02 05:00:00+03:00,79,237,80,30,25,5,0
2022-12-02 05:15:00+03:00,84,242,80,30,27,6,0
2022-12-02 05:30:00+03:00,96,155,80,30,20,4,0
2022-12-02 05:45:00+03:00,91,282,80,30,33,7,0
2022-12-02 06:00:00+03:00,118,357,80,30,53,11,6
2022-12-02 06:15:00+03:00,120,163,80,30,26,6,6
2022-12-02 06:30:00+03:00,131,276,80,30,46,10,15
2022-12-02 06:45:00+03:00,132,362,80,30,60,12,18
2022-12-02 07:00:00+03:00,172,290,80,30,62,13,28
2022-12-02 07:15:00+03:00,197,322,80,30,77,16,28
2022-12-02 07:30:00+03:00,203,606,80,30,147,30,29
2022-12-02 07:45:00+03:00,217,556,80,30,144,29,29
2022-12-02 08:00:00+03:00,261,400,80,30,124,25,31
2022-12-02 08:15:00+03:00,285,293,80,30,100,20,34
2022-12-02 08:30:00+03:00,330,402,80,30,156,32,40
2022-12-02 08:45:00+03:00,381,333,80,30,149,30,40
2022-12-02 09:00:00+03:00,471,385,80,30,211,43,44
2022-12-02 09:15:00+03:00,503,378,80,30,221,45,50
