,shifted_resources_per_slot
0,[ 11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  52  49  45  45  72  94  94 105 112 166 181 222 236 236 256 310 310 335 335 365 368 368 371 389 391 397 403 405 405 405 405 405 405 405 405 405 361 361 361 361 334 311 311 300 293 239 224 183 169 169 149  95  95  70  70  40  37  37  34  16  17  14  12  10  10  11  11  11  11  11  11  11]
1,[  9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9  29  26  46  60 117 144 144 144 161 161 203 212 221 221 255 321 321 332 332 341 341 341 362 362 362 362 362 365 365 365 365 365 365 365 365 365 340 340 320 305 248 221 221 221 204 204 162 153 144 144 110  44  44  33  33  24  24  24   3   3   8  11  11   9   9   9   9   9   9   9   9   9]
2,[ 4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  9  9 10 10 11 12 12 12 14 16 17 18 21 22 24 25 28 28 28 28 29 29 29 30 30 31 31 32 32 32 32 32 32 32 32 32 23 23 22 22 21 20 20 20 18 16 15 14 11 10  8  7  4  4  4  4  3  3  3  2  6  5  5  4  4  4  4  4  4  4  4  4]
3,[ 3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  4  6  6  6  6  6  7  7  8  9  9 11 12 13 14 14 17 17 17 17 17 17 19 19 20 21 21 23 23 23 23 23 23 23 23 23 20 17 17 17 17 17 16 16 15 14 14 12 11 10  9  9  6  6  6  6  6  6  4  4  5  5  5  3  3  3  3  3  3  3  3  3]
4,[ 10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  25  50  50  50  76  87  88 144 144 150 150 150 232 267 277 302 328 364 391 397 397 397 397 397 413 413 417 423 423 423 423 423 423 423 423 423 401 376 376 376 347 336 335 279 279 273 273 273 191 156 146 121  95  59  32  26  26  26  26  26  17  17  13   7  10  10  10  10  10  10  10  10]
5,[ 10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  76  78  74  74 115 118 118 131 131 163 171 227 229 246 299 330 330 346 364 369 370 370 370 370 378 378 385 386 386 386 386 386 386 386 386 386 314 312 312 312 271 268 268 255 255 223 215 159 157 140  87  56  56  40  22  17  16  16  16  16  14  14  11  10  10  10  10  10  10  10  10  10]
6,[ 11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  41  40  48  63  97  97  97 148 148 148 173 230 254 254 274 292 313 313 322 340 359 364 364 364 364 364 370 370 370 370 370 370 370 370 370 370 332 332 322 307 273 273 273 222 222 222 197 140 116 116  96  78  57  57  48  30  11   6   6   6  14  15  11  11  11  11  11  11  11  11  11  11]
7,[ 11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  49  45  42  42  67  89  95  95  95 155 155 203 221 221 238 260 290 321 326 341 343 344 360 362 362 369 376 377 377 377 377 377 377 377 377 377 337 337 337 337 312 288 282 282 282 222 222 174 156 156 139 117  87  56  51  36  34  33  17  15  17  14  10   9   9  11  11  11  11  11  11  11]
8,[  9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9  41  38  44  71 114 114 138 138 158 169 198 213 213 233 249 312 324 324 324 333 333 340 354 354 354 354 354 356 356 356 356 356 356 356 356 356 319 319 312 285 242 242 218 218 198 187 158 143 143 123 107  44  32  32  32  23  23  16   2   2   7  10  11   9   9   9   9   9   9   9   9   9]
9,[ 4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  9  9 10 10 11 12 12 13 16 16 16 18 20 22 22 25 26 28 28 29 29 29 29 31 31 31 31 32 32 32 32 32 32 32 32 32 23 23 22 22 21 20 20 19 16 16 16 14 12 10 10  7  6  4  4  3  3  3  3  1  5  5  5  4  4  4  4  4  4  4  4  4]
10,[ 3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  5  5  6  6  6  6  6  6  8  9  9 11 12 12 13 13 17 17 17 17 17 17 17 17 20 20 20 22 22 22 22 22 22 22 22 22 17 17 16 16 16 16 16 16 14 13 13 11 10 10  9  9  5  5  5  5  5  5  5  5  5  5  5  3  3  3  3  3  3  3  3  3]
11,[ 10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  26  51  51  51  65  91  97 151 151 163 163 215 243 258 293 314 343 375 406 412 412 412 412 412 427 427 431 436 436 436 436 436 436 436 436 436 413 387 387 387 371 345 339 285 285 273 273 221 193 178 143 122  93  61  30  24  24  24  24  24  16  17  13   8  10  10  10  10  10  10  10  10]
12,[ 10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  79  78  75  98 118 118 120 152 152 178 206 231 236 262 305 336 337 356 373 373 373 378 378 378 393 393 393 395 395 395 395 395 395 395 395 395 320 320 320 297 277 277 275 243 243 217 189 164 159 133  90  59  58  39  22  22  22  17  17  17   8   9  12  10  10  10  10  10  10  10  10  10]
13,[ 12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  12  42  44  41  41  97  97 110 110 150 180 180 248 258 262 296 302 321 321 328 328 368 374 374 374 374 374 374 380 380 380 380 380 380 380 380 380 341 339 339 339 283 283 270 270 230 200 200 132 122 118  84  78  59  59  52  52  12   6   6   6  15  15  18  12  12  12  12  12  12  12  12  12]
