,shifted_resources_per_slot
0,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   2   2   3   3   3   6   8   8   8   8  13  22  22  22  22  22  40  82 124 124 124 124 124 124 124 124 124 122 122 122 122 122 122 122 122 122 122 122 121 121 121 118 116 116 116 116 111 102 102 102 102 102  84  42   0   0   0   0   0   0   0   0   0]
1,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   2   2   5   5   9  18  18  18  18  18  18  22  40  82 124 124 124 124 124 124 124 124 124 124 124 124 124 122 122 122 122 122 122 122 122 122 122 122 119 119 115 106 106 106 106 106 106 102  84  42   0   0   0   0   0   0   0   0   0]
2,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  2  2  2  2  3  3  3  3  3  3  4  4  4  4  4 13 13 13 13 13 13 13 13 13 12 12 12 12 12 12 12 12 12 12 12 12 11 11 11 11 10 10 10 10 10 10  9  9  9  9  9  0  0  0  0  0  0  0  0  0]
3,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 3 3 3 8 8 8 8 8 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 6 6 6 5 5 5 5 5 0 0 0 0 0 0 0 0 0]
4,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   2   2   2   2   2   2   2   2   2   3   3   3   4   4   5   5  13  13  13  13  13  13  13  48  90 132 132 132 132 132 132 132 132 132 132 131 130 130 130 130 130 130 130 130 130 129 129 129 128 128 127 127 119 119 119 119 119 119 119  84  42   0   0   0   0   0   0   0   0   0]
5,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   3   3   4   4   4   4   5  12  12  15  16  16  16  16  16  31  46  88 130 130 130 130 130 130 130 130 130 128 128 128 128 128 128 128 128 128 127 127 126 126 126 126 125 118 118 115 114 114 114 114 114  99  84  42   0   0   0   0   0   0   0   0   0]
6,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   2   4   4   4   4   4   6   7  10  10  10  17  17  17  17  17  38  80 122 122 122 122 122 122 122 122 122 120 120 120 120 120 120 120 120 120 120 118 118 118 118 118 116 115 112 112 112 105 105 105 105 105  84  42   0   0   0   0   0   0   0   0   0]
7,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   2   2   2   2   2   5   5   8   8   8  20  20  20  20  20  20  29  71 113 113 113 113 113 113 113 113 113 111 111 111 111 111 111 111 111 111 111 111 111 111 111 108 108 105 105 105  93  93  93  93  93  93  84  42   0   0   0   0   0   0   0   0   0]
8,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   3   3   3   4   5   9  15  16  16  16  16  16  16  37  79 121 121 121 121 121 121 121 121 121 121 121 121 121 119 119 119 119 119 119 119 119 118 118 118 117 116 112 106 105 105 105 105 105 105  84  42   0   0   0   0   0   0   0   0   0]
9,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  3  3  3  3  3  4  4  4  4  4  4 13 13 13 13 13 13 13 13 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 10 10 10 10 10  9  9  9  9  9  9  0  0  0  0  0  0  0  0  0]
10,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 3 8 8 8 8 8 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 5 0 0 0 0 0 0 0 0 0]
11,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   2   4   4   4   4   4   4   6   7  14  14  14  14  14  14  51  93 135 135 135 135 135 135 135 135 135 135 135 134 134 134 134 134 134 134 134 133 131 131 131 131 131 131 129 128 121 121 121 121 121 121  84  42   0   0   0   0   0   0   0   0   0]
12,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   4   4   4   4   5   5  10  10  16  16  16  16  16  16  20  50  92 134 134 134 134 134 134 134 134 134 134 134 132 132 132 132 132 132 132 132 130 130 130 130 129 129 124 124 118 118 118 118 118 118 114  84  42   0   0   0   0   0   0   0   0   0]
13,[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2   2   2   2   2   2   2   2   2   2   4   5   7  10  10  16  17  17  17  17  17  40  82 124 124 124 124 124 124 124 124 124 122 122 122 122 122 122 122 122 122 122 122 122 122 122 120 119 117 114 114 108 107 107 107 107 107  84  42   0   0   0   0   0   0   0   0   0]
